step,l1_errs,l2_errs,li_errs,rel_l1_errs,rel_l2_errs,rel_li_errs,t_nn,t_mc
0,400.0037785254961,400.3291722151608,434.274140267374,1.0015127652037905,1.0030845032324005,1.177958826081601,0,178.87620000839235
25000,375.56755775400666,375.5690903097493,378.62467547719234,0.9391356106000751,0.9398423972681833,1.0251248570472873,617.9210000038147,181.1478000164032
50000,349.5362887699092,349.5377027402599,352.62562784696047,0.8764656553364683,0.877130108183315,0.9545584252744317,524.5820000171661,193.59359993934632
75000,325.13943966374893,325.1418261597481,328.5254220323158,0.814121506369899,0.814711694455384,0.88890632334894,513.414999961853,190.53500003814696
100000,300.15421727977133,300.15641775209997,303.5995862096821,0.751658219298079,0.7522199899295781,0.8208622858477875,516.085000038147,178.94100003242494
125000,274.921660195456,274.9237933242113,278.16274264491113,0.688979275878227,0.6894960030721917,0.753427971529846,523.1400001049042,182.77580003738404
150000,250.22796439975127,250.23067859471297,252.9738371047239,0.62688877691587,0.6273537518924017,0.6863528225218575,512.5789999961853,179.51039996147156
175000,226.14767934734408,226.1514829514064,229.47065344424294,0.5655499430780276,0.5659770971335002,0.6214744392058937,997.329999923706,410.96200008392333
200000,201.0272080666473,201.0297942885294,204.6733560197896,0.5031706964448075,0.5035716639889215,0.5531593794014384,1295.625,224.22839999198914
225000,176.00936648957173,176.01234499785772,178.89570382572154,0.4407536739189273,0.44108708384616063,0.4845248655293237,518.1290001869202,183.36060004234315
250000,151.33819573426916,151.3420000266824,154.58742853084513,0.3788521071965519,0.37914175199293837,0.4198468617299421,521.8689999580383,178.98539996147156
275000,130.38809978003127,130.39205507277958,133.30696015947797,0.3259935029793103,0.3262535930377367,0.3609117392236377,530.2250001430511,189.08719997406007
300000,105.02034241635731,105.02519999114052,107.91248475173535,0.262953440907891,0.2631634640633399,0.29089945790482863,568.9079999923706,177.29019994735717
325000,79.99801650151616,80.00544055200496,83.22618781087613,0.20050169322766176,0.2006728264041103,0.22565428137485585,519.2689998149872,177.67740006446837
350000,55.94721292031905,55.958785270682505,59.01130959525716,0.14004877849668984,0.14017915899033664,0.1600527194240881,523.0019998550415,179.796799993515
375000,31.141892243087803,31.171014351277094,35.0071595013647,0.07802989656729435,0.07815504777715458,0.09463224797057555,529.1059999465942,175.73860001564026
400000,7.772844418606948,7.841103346061743,11.416691757937087,0.01946727887095554,0.019652189541296293,0.030864255300677032,524.8519999980927,178.0116000175476
425000,0.8859161325231758,1.1464297319168293,5.037929121042225,0.0022193581689990095,0.002874403227383045,0.01361371871124191,546.8829998970032,177.9205999851227
450000,1.0676790120481874,1.3160082038568517,4.253746085132661,0.0026676059644544685,0.0032894983162076088,0.01154522189663257,543.0239999294281,174.96420001983643
475000,0.9292053300423371,1.222276811210312,4.617907580359827,0.002328065693755681,0.00306427063235679,0.01246937095876501,538.0140001773834,175.30120005607606
500000,1.1272967978869213,1.3430962880750708,4.407079303156763,0.002815902297332471,0.00335647734899352,0.011937400174022042,526.7650001049042,173.59559998512267
525000,0.8937559058747075,1.156729084030059,5.684658203586309,0.002241053606596023,0.0029031512742481824,0.015346598689148398,538.3870000839233,174.80380005836486
550000,1.0002656457180366,1.220199123803497,4.427230176022249,0.002504288803576088,0.003057503448908909,0.012004533572721405,532.0679998397827,174.52940001487733
575000,0.8986323285675196,1.1170017740831877,4.450658300490261,0.0022484097810979414,0.0027965969228222086,0.011982565486146714,524.8999998569489,173.09660000801085
600000,0.8310712446825408,1.0842824609697204,4.238044640873852,0.002082745904531642,0.0027196995980077253,0.011469067660078807,534.2999999523163,172.4116000175476
625000,0.8816396499976389,1.1446713699552005,5.2895894625486335,0.0022097702971019028,0.0028717759460348685,0.014298911772434125,529.4679999351501,173.58779997825621
650000,0.8024487901235258,1.0323116619558603,4.548953004197813,0.002010362676993486,0.002588280347234569,0.01230712584300671,533.0479998588562,172.71839995384215
675000,0.8044015059611167,1.0464646692094244,4.174504467354609,0.0020138719696758513,0.0026216937050114494,0.011269310926846368,543.3819999694824,171.20459995269775
700000,0.7771832762577994,1.0345714147562048,4.167919584437811,0.0019482176296239811,0.0025955737420408666,0.011298115740035324,527.7339999675751,173.2897999763489
725000,0.8429832187028141,1.0735229943926967,4.881982048519717,0.0021125829046413783,0.0026928687921270963,0.01320200149120535,529.9230000972748,173.71939997673036
750000,0.9990704215808816,1.2360292650127411,4.882262379913243,0.0025021478635722234,0.0030981980596898125,0.0132453731101252,536.6669998168945,172.12560000419617
